Succeful to send start motor command
Succeful to send start motor command
Succeful to send start motor command
17.33 17.50 -0.55 0.56 0.00 0.00
17.33 17.50 -0.55 0.56 0.00 0.00
17.33 17.50 -0.55 0.56 -0.14 0.25
17.33 17.50 -0.55 0.56 -0.31 0.30
17.33 17.50 -0.55 0.56 -0.33 0.31
17.33 17.50 -0.55 0.56 -0.36 0.34
17.33 17.50 -0.55 0.56 -0.41 0.38
17.33 17.50 -0.55 0.56 -0.39 0.42
17.33 17.50 -0.55 0.56 -0.31 0.47
17.33 17.50 -0.55 0.56 -0.30 0.50
17.33 17.50 -0.55 0.56 -0.34 0.50
17.33 17.50 -0.55 0.56 -0.25 0.55
17.33 17.50 -0.55 0.56 -0.33 0.55
17.33 17.50 -0.55 0.56 -0.36 0.53
17.33 17.50 -0.55 0.56 -0.41 0.56
17.33 17.50 -0.55 0.56 -0.39 0.52
17.33 17.50 -0.55 0.56 -0.44 0.58
17.33 17.50 -0.55 0.56 -0.44 0.53
17.33 17.50 -0.55 0.56 -0.45 0.58
17.33 17.50 -0.55 0.56 -0.44 0.55
17.33 17.50 -0.55 0.56 -0.47 0.58
17.33 17.50 -0.55 0.56 -0.47 0.53
17.33 17.50 -0.55 0.56 -0.52 0.58
17.33 17.50 -0.55 0.56 -0.50 0.56
17.33 17.50 -0.55 0.56 -0.50 0.50
17.33 17.50 -0.55 0.56 -0.53 0.56
17.33 17.50 -0.55 0.56 -0.59 0.58
17.33 17.50 -0.55 0.56 -0.69 0.56
17.33 17.50 -0.55 0.56 -0.72 0.56
17.33 17.50 -0.55 0.56 -0.69 0.56
17.33 17.50 -0.55 0.56 -0.69 0.56
17.33 17.50 -0.55 0.56 -0.63 0.55
17.33 17.50 -0.55 0.56 -0.63 0.59
17.33 17.50 -0.55 0.56 -0.56 0.58
17.33 17.50 -0.55 0.56 -0.56 0.56
17.33 17.50 -0.55 0.56 -0.58 0.58
17.33 17.50 -0.55 0.56 -0.59 0.59
17.33 17.50 -0.55 0.56 -0.58 0.59
17.33 17.50 -0.55 0.56 -0.63 0.56
17.33 17.50 -0.55 0.56 -0.61 0.58
17.33 17.50 -0.55 0.56 -0.64 0.58
17.33 17.50 -0.55 0.56 -0.58 0.56
17.33 17.50 -0.55 0.56 -0.66 0.53
17.33 17.50 -0.55 0.56 -0.66 0.56
17.33 17.50 -0.55 0.56 -0.64 0.58
17.33 17.50 -0.55 0.56 -0.59 0.55
17.33 17.50 -0.55 0.56 -0.59 0.56
17.33 17.50 -0.55 0.56 -0.59 0.55
17.33 17.50 -0.55 0.56 -0.59 0.63
17.33 17.50 -0.55 0.56 -0.59 0.66
17.33 17.50 -0.55 0.56 -0.58 0.69
17.33 17.50 -0.55 0.56 -0.56 0.70
17.33 17.50 -0.55 0.56 -0.64 0.63
17.33 17.50 -0.55 0.56 -0.67 0.50
17.33 17.50 -0.55 0.56 -0.67 0.47
17.33 17.50 -0.55 0.56 -0.63 0.36
17.33 17.50 -0.55 0.56 -0.61 0.38
17.33 17.50 -0.55 0.56 -0.53 0.61
17.33 17.50 -0.55 0.56 -0.53 0.59
17.33 17.50 -0.55 0.56 -0.41 0.66
17.33 17.50 -0.55 0.56 -0.45 0.58
17.33 17.50 -0.55 0.56 -0.59 0.56
17.33 17.50 -0.55 0.56 -0.58 0.63
17.33 17.50 -0.55 0.56 -0.63 0.53
17.33 17.50 -0.55 0.56 -0.64 0.52
17.33 17.50 -0.55 0.56 -0.67 0.56
17.33 17.50 -0.55 0.56 -0.53 0.53
17.33 17.50 -0.55 0.56 -0.58 0.59
17.33 17.50 -0.55 0.56 -0.59 0.59
17.33 17.50 -0.55 0.56 -0.58 0.59
17.33 17.50 -0.55 0.56 -0.58 0.58
17.33 17.50 -0.55 0.56 -0.55 0.47
17.33 17.50 -0.55 0.56 -0.58 0.53
